ids,epoch_19,epoch_39,epoch_56
1653,0,0,0
1654,0,0,727
1655,0,0,0
1656,0,0,1206
1657,0,0,0
1658,0,0,0
1659,0,4,3
1660,0,0,0
1661,0,0,0
1662,2,0,26
1663,1,0,1
1664,0,0,0
1665,1,0,0
1666,0,0,0
1667,0,0,0
1668,0,0,0
1669,0,0,0
1670,0,0,0
1671,0,0,0
1672,0,0,0
1673,0,0,0
1674,0,0,0
1675,0,0,0
1676,0,0,0
1677,8,0,112
1678,149,8,94
1679,0,0,0
1680,0,0,0
1681,0,0,0
1682,0,0,2
1683,0,0,0
1684,0,0,0
1685,0,0,0
1686,0,0,0
1687,0,0,0
1688,1,0,0
1689,0,0,1
1690,0,0,0
1691,0,0,0
1692,0,0,0
1693,0,0,107
1694,0,0,0
1695,0,0,0
1696,0,0,0
1697,0,0,0
1698,0,11,0
1699,0,3,1
1700,0,0,1
1701,0,0,0
1702,1,13,55
1703,0,0,0
1704,0,0,0
1705,0,0,0
1706,0,0,0
1707,0,0,0
1708,0,0,0
1709,295,4,0
1710,0,0,0
1711,0,0,0
1712,0,0,0
1713,0,0,2
1714,0,0,20
1715,0,0,0
1716,0,0,2
1717,0,0,2
1718,0,0,0
1719,1,0,0
1720,0,0,4
1721,12,3,0
1722,1,0,18
1723,0,0,0
1724,0,0,0
1725,1,2,21
1726,0,0,0
1727,0,0,42
1728,0,0,0
1729,0,0,0
1730,0,0,4
1731,0,0,0
1732,4,3,0
1733,0,0,0
1734,0,0,0
1735,0,0,0
1736,7,2,2
1737,0,0,0
1738,0,0,1
1739,0,0,0
1740,0,0,0
1741,0,0,0
1742,0,0,0
1743,0,0,0
1744,0,0,0
1745,16,1,5
1746,0,0,0
1747,9,2,0
1748,0,0,0
1749,0,0,0
1750,0,0,0
1751,0,2,7
1752,0,0,0
1753,0,0,0
1754,0,0,0
1755,0,0,0
1756,0,0,0
1757,116,14,2
1758,0,0,0
1759,0,0,0
1760,0,0,0
1761,0,0,0
1762,0,12,0
1763,0,0,0
1764,0,0,0
1765,0,2,0
1766,0,0,0
1767,35,14,19
1768,1052,0,291
1769,89,3,0
1770,27,4,11
1771,0,0,0
1772,0,1,0
1773,67,1,10
1774,0,0,0
1775,6,1,3
1776,0,0,0
1777,0,0,0
1778,1,0,20
1779,0,0,0
1780,0,0,0
1781,0,0,0
1782,0,0,0
1783,0,0,0
1784,24,0,28
1785,0,0,0
1786,0,0,0
1787,0,0,0
1788,0,0,0
1789,0,0,0
1790,0,0,149
1791,1,8,1
1792,0,2,0
1793,428,12,1
1794,0,0,0
1795,2,0,17
1796,0,0,0
1797,0,0,0
1798,0,0,0
1799,0,0,0
1800,0,0,0
1801,0,7,1
1802,0,0,0
1803,0,0,8
1804,0,0,0
1805,0,0,0
1806,0,2,6
1807,0,5,15
1808,10,1,0
1809,0,5,4
1810,979,16,44
1811,0,0,0
1812,0,4,12
1813,0,0,0
1814,0,0,0
1815,0,0,0
1816,0,0,0
1817,0,0,0
1818,0,0,0
1819,0,0,0
1820,1,3,2
1821,0,0,0
1822,0,0,669
1823,32,17,36
1824,17,28,41
1825,0,6,0
1826,0,4,2
1827,0,0,14
1828,0,0,0
1829,0,0,0
1830,0,0,0
1831,4,1,36
1832,0,0,1
1833,0,0,0
1834,1,0,1
1835,12,20,5
1836,1,4,0
1837,0,0,0
1838,0,0,0
1839,0,0,0
1840,26,22,3
1841,0,0,0
1842,18,39,30
1843,0,0,0
1844,2,8,7
1845,95,5,68
1846,0,0,0
1847,20,8,51
1848,0,0,0
1849,0,0,0
1850,21,58,19
1851,0,0,5
1852,0,0,0
1853,0,0,0
1854,0,4,0
1855,0,0,0
1856,0,0,0
1857,0,0,0
1858,0,0,0
1859,0,0,0
1860,0,0,0
1861,0,0,0
1862,0,0,0
1863,4,3,3
1864,0,0,0
1865,0,0,0
1866,0,0,0
1867,22,0,1
1868,0,0,0
1869,0,0,0
1870,0,0,0
1871,0,0,0
1872,0,16,0
1873,0,6,0
1874,25,19,4
1875,0,0,0
1876,1,0,0
1877,0,0,0
1878,0,0,0
1879,0,0,0
1880,0,0,0
1881,0,0,0
1882,0,0,0
1883,0,0,0
1884,0,1,235
1885,14,5,3
1886,0,0,0
1887,0,0,0
1888,0,0,0
1889,0,1,3
1890,0,0,0
1891,0,0,12
1892,0,0,0
1893,0,0,0
1894,0,1,0
1895,0,0,0
1896,0,0,0
1897,0,0,0
1898,0,1,0
1899,0,1,0
1900,0,0,0
1901,0,0,0
1902,0,0,0
1903,16,90,6
1904,0,0,0
1905,0,0,0
1906,0,0,0
1907,1,0,0
1908,0,0,0
1909,0,0,0
1910,19,0,13
1911,0,0,0
1912,0,0,0
1913,0,0,0
1914,0,0,0
1915,0,0,0
1916,1,25,27
1917,2,0,0
1918,2,0,1
1919,0,0,2
1920,0,0,0
1921,0,0,0
1922,0,0,0
1923,0,0,0
1924,7,1,6
1925,0,0,0
1926,0,0,0
1927,0,1,0
1928,0,0,0
1929,5,1,2
1930,2,2,25
1931,0,0,0
1932,0,0,0
1933,0,0,0
1934,0,0,0
1935,0,0,0
1936,0,0,0
1937,0,1,2
1938,3,0,0
1939,2,0,0
1940,0,0,0
1941,0,0,0
1942,0,0,0
1943,0,0,0
1944,67,2,0
1945,11,12,0
1946,0,0,0
1947,0,0,0
1948,0,0,0
1949,7,1,2
1950,0,0,0
1951,1,0,0
1952,0,0,0
1953,0,0,0
1954,0,0,0
1955,0,1,12
1956,437,22,894
1957,0,1,0
1958,0,0,0
1959,0,0,0
1960,992,0,0
1961,0,0,0
1962,0,0,0
1963,0,0,0
1964,0,0,0
1965,0,0,2
1966,0,0,0
1967,40,2,43
1968,0,0,129
1969,0,0,0
1970,0,0,0
1971,0,0,0
1972,2,2,2
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,4,0
1979,0,22,4
1980,0,0,61
1981,1,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,87,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,1482
1998,0,0,0
1999,0,0,0
2000,0,0,0
2001,254,23,30
2002,16,14,2
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,0,0,0
2008,0,0,0
2009,0,0,0
2010,0,0,0
2011,0,0,246
2012,0,0,0
2013,0,0,0
2014,0,0,0
2015,39,154,117
2016,42,8,5
2017,0,0,0
2018,0,0,0
2019,0,0,0
2020,0,0,0
2021,0,0,0
2022,0,0,0
2023,1,0,0
2024,0,0,0
2025,0,0,3
2026,0,0,0
2027,0,0,0
2028,4,3,5
2029,128,16,0
2030,0,0,0
2031,0,0,0
2032,4,19,0
2033,0,2,11
2034,0,0,0
2035,0,0,0
2036,7,0,0
2037,0,0,0
2038,0,0,0
2039,0,0,0
2040,125,20,151
2041,0,0,0
2042,0,0,0
2043,0,0,0
2044,0,0,69
2045,0,0,0
2046,0,0,0
2047,7,2,1
2048,0,473,0
2049,0,0,0
2050,0,0,0
2051,0,0,0
2052,0,0,0
2053,0,0,0
2054,235,6,14
2055,0,0,0
2056,0,0,0
2057,0,0,0
2058,0,0,14
2059,0,0,0
2060,0,0,0
2061,0,0,0
2062,28,2,18
2063,0,0,0
2064,195,0,0
2065,0,0,0
2066,0,0,0
2067,0,0,0
2068,0,0,0
2069,0,0,0
2070,0,0,0
2071,0,0,0
2072,10,0,1
2073,0,0,0
2074,0,0,0
2075,0,0,0
2076,0,0,0
2077,0,0,1
2078,0,0,0
2079,0,0,0
2080,0,0,1
2081,0,0,476
2082,4164,0,0
2083,0,0,0
2084,0,0,1
2085,0,0,0
2086,0,0,0
2087,0,0,0
2088,0,0,0
2089,0,0,189
2090,0,0,0
2091,0,0,0
2092,0,0,0
2093,0,0,95
2094,0,0,0
2095,5,16,0
2096,0,0,0
2097,0,0,0
2098,0,0,0
2099,0,0,0
2100,0,0,0
2101,0,0,0
2102,0,1,0
2103,0,0,0
2104,0,0,0
2105,9,11,1
2106,0,0,0
2107,0,0,0
2108,0,0,0
2109,100,28,171
2110,0,0,0
2111,0,0,0
2112,337,78,3
2113,0,0,0
2114,0,0,0
2115,0,0,0
2116,11,5,0
2117,0,0,0
2118,0,0,0
2119,0,0,0
2120,8,0,11
2121,0,0,0
2122,3,0,0
2123,0,0,0
2124,0,0,0
2125,1,0,0
2126,0,0,0
2127,6,1,0
2128,0,0,0
2129,0,0,0
2130,0,0,0
2131,0,0,0
2132,0,0,0
2133,0,0,0
2134,0,0,0
2135,0,0,0
2136,0,0,0
2137,0,0,0
2138,0,0,0
2139,0,0,0
2140,0,0,0
2141,76,11,64
2142,0,0,0
2143,0,0,0
2144,0,0,0
2145,0,0,19
2146,0,0,0
2147,0,0,0
2148,0,0,0
2149,0,21,4
2150,0,0,0
2151,0,0,0
2152,0,0,0
2153,0,0,0
2154,0,0,0
2155,31,70,21
2156,0,0,0
2157,0,0,0
2158,0,0,0
2159,30,0,0
2160,0,0,0
2161,0,0,0
2162,3,7,29
2163,0,0,0
2164,0,0,0
2165,0,3,0
2166,1,3,0
2167,0,0,0
2168,1,0,0
2169,0,0,0
2170,0,0,0
2171,0,0,0
2172,0,0,3
2173,29,42,140
2174,0,0,0
2175,544,116,370
2176,0,0,0
2177,0,0,0
2178,0,0,0
2179,0,0,0
2180,0,0,165
2181,2,2,6
2182,9,0,0
2183,0,0,0
2184,0,0,0
2185,0,0,1
2186,0,9,0
2187,0,0,0
2188,257,433,187
2189,0,0,0
2190,0,0,0
2191,0,0,0
2192,0,0,0
2193,0,0,0
2194,0,0,0
2195,0,0,0
2196,431,451,84
2197,0,0,0
2198,0,1,0
2199,0,0,0
2200,0,0,4
2201,41,1,32
2202,0,0,0
2203,0,0,0
2204,2,42,7
2205,0,0,14
2206,4,5,628
2207,0,0,0
2208,0,0,0
2209,0,0,0
2210,0,0,0
2211,4,11,6
2212,0,0,0
2213,0,0,713
2214,5,3,2
2215,0,0,0
2216,0,0,0
2217,97,700,19
2218,0,0,0
2219,0,0,16
2220,0,0,0
2221,3,5,0
2222,0,0,0
2223,0,0,0
2224,0,0,1
2225,0,0,0
2226,0,0,0
2227,0,0,0
2228,0,0,0
2229,0,0,0
2230,0,0,0
2231,8,0,333
2232,0,0,0
2233,0,0,0
2234,0,0,0
2235,0,0,0
2236,0,0,0
2237,0,0,0
2238,0,0,0
2239,0,0,0
2240,1,0,4
2241,0,0,0
2242,0,0,0
2243,0,0,0
2244,0,0,0
2245,0,0,0
2246,0,0,0
2247,0,0,53
2248,0,0,0
2249,0,0,0
2250,0,0,0
2251,0,0,0
2252,16,98,43
2253,0,0,0
2254,0,0,0
2255,0,0,0
2256,9,0,8
2257,0,0,0
2258,0,0,0
2259,0,0,0
2260,0,0,0
2261,0,1,0
2262,0,0,0
2263,0,0,0
2264,0,0,0
2265,38,8,0
2266,0,2,1
2267,2,1,415
2268,0,0,0
2269,0,0,0
2270,2,0,0
2271,0,0,0
2272,0,0,0
2273,0,0,0
2274,0,0,0
2275,0,0,0
2276,0,0,1
2277,0,0,0
2278,0,0,0
2279,0,30,0
2280,0,0,0
2281,0,0,0
2282,0,0,256
2283,0,0,0
2284,0,0,0
2285,2,0,0
2286,0,0,0
2287,23,153,13
2288,0,0,0
2289,0,0,0
2290,4,2,2724
2291,0,0,0
2292,0,0,0
2293,0,0,0
2294,0,0,0
2295,0,0,0
2296,8,20,58
2297,0,0,0
2298,0,404,0
2299,0,0,0
2300,1,0,0
2301,0,0,0
2302,0,0,0
2303,41,9,1
2304,51,8,1
2305,0,0,0
2306,0,0,0
2307,0,0,0
2308,0,0,0
2309,0,0,0
2310,0,0,0
2311,0,0,0
2312,0,0,0
2313,0,0,0
2314,12,8,1
2315,0,0,0
2316,0,0,0
2317,0,0,1
2318,0,0,0
2319,0,0,0
2320,0,0,0
2321,0,0,0
2322,0,0,1
2323,0,0,0
2324,0,0,0
2325,0,0,3
2326,0,0,1
2327,0,0,0
2328,0,0,6
2329,0,0,0
2330,0,0,0
2331,0,0,0
2332,0,0,0
2333,1,14,50
2334,0,0,0
2335,0,0,0
2336,0,0,0
2337,0,2,7
2338,0,0,0
2339,0,0,0
2340,0,2,0
2341,0,0,0
2342,0,0,0
2343,0,0,0
2344,27,1,2
2345,0,0,4
2346,0,3,0
2347,1,1,14
2348,6,2,2
2349,0,0,0
2350,0,1,0
2351,28,99,14
2352,237,0,1
2353,5,20,5
2354,0,0,0
2355,0,0,0
2356,0,0,0
2357,0,0,0
2358,0,0,0
2359,2,1,5
2360,455,518,1207
2361,0,0,0
2362,12,0,0
2363,0,0,0
2364,0,0,0
2365,0,9,74
2366,0,1,0
2367,3,0,0
2368,0,0,1
2369,10,0,2
2370,0,0,184
2371,0,0,0
2372,0,0,0
2373,20,132,616
2374,0,0,0
2375,0,0,0
2376,0,0,0
2377,0,2,0
2378,0,0,0
2379,0,0,0
2380,0,0,28
2381,0,9,411
2382,0,1,0
2383,0,0,0
2384,0,0,0
2385,0,0,0
2386,0,0,0
2387,0,1,0
2388,0,162,0
2389,0,1,2
2390,0,0,0
2391,3,0,0
2392,30,75,4
2393,0,0,0
2394,0,0,0
2395,0,0,0
2396,0,0,0
2397,0,0,2845
2398,0,0,0
2399,1,3,12
2400,3,1,0
2401,0,0,0
2402,0,0,0
2403,0,0,0
2404,0,0,0
2405,0,0,0
2406,0,0,0
2407,0,0,0
2408,0,2,0
2409,0,0,0
2410,0,0,0
2411,1,0,0
2412,0,0,0
2413,0,0,0
2414,0,0,16
2415,2,0,0
2416,0,0,0
2417,2,0,0
2418,0,0,0
2419,0,0,0
2420,0,0,0
2421,0,0,0
2422,44,22,61
2423,0,0,0
2424,0,0,0
2425,0,0,0
2426,0,0,0
2427,0,0,1
2428,46,111,39
2429,0,0,0
2430,0,0,0
2431,0,0,0
2432,0,0,0
2433,0,0,0
2434,0,0,0
2435,3,1,2
2436,0,0,0
2437,0,16,2
2438,0,0,0
2439,368,116,129
2440,0,0,902
2441,0,0,1
2442,0,0,0
2443,4,1,24
2444,0,0,2
2445,0,0,0
2446,0,0,0
2447,0,0,0
2448,0,0,0
2449,0,0,0
2450,653,1451,312
2451,0,0,0
2452,0,0,0
2453,0,0,0
2454,0,0,1
2455,0,0,0
2456,0,0,0
2457,4,102,3
2458,0,0,0
2459,0,0,0
2460,0,0,0
2461,0,1,23
2462,0,0,0
2463,0,0,0
2464,0,0,0
2465,0,0,0
2466,0,0,0
2467,0,0,0
2468,0,0,0
2469,0,0,0
2470,0,2,25
2471,0,0,0
2472,0,0,54
2473,7,0,0
2474,0,0,0
2475,0,0,0
2476,0,0,0
2477,1,0,0
2478,0,1,1
2479,0,0,0
2480,0,0,0
2481,0,0,0
2482,0,0,0
2483,0,0,0
2484,0,0,0
2485,0,0,0
2486,0,1,0
2487,0,3,29
2488,3,1,22
2489,0,0,0
2490,0,0,1
2491,0,0,0
2492,0,0,0
2493,9,0,0
2494,8,0,0
2495,0,0,0
2496,0,0,0
2497,0,0,0
2498,0,0,0
2499,0,1,0
2500,0,0,0
2501,2,0,0
2502,0,0,0
2503,0,0,0
2504,0,0,0
2505,0,0,0
2506,0,0,0
2507,0,0,0
2508,0,0,0
2509,0,0,0
2510,0,0,0
2511,0,0,0
2512,0,0,0
2513,0,0,0
2514,0,0,0
2515,154,211,354
2516,14,0,0
2517,4,10,23
2518,0,0,0
2519,0,0,0
2520,0,0,0
2521,0,0,0
2522,0,0,0
2523,0,0,0
2524,0,0,0
2525,0,0,0
2526,0,0,0
2527,0,0,0
2528,0,0,0
2529,0,0,0
2530,0,0,2
2531,0,0,0
2532,0,0,0
2533,0,0,0
2534,65,62,158
2535,0,0,0
2536,0,0,0
2537,0,4,1
2538,0,0,0
2539,0,0,0
2540,0,0,0
2541,0,0,76
2542,0,3,35
2543,0,0,0
2544,0,0,1
2545,0,0,0
2546,0,0,0
2547,0,0,0
2548,0,0,0
2549,0,0,0
2550,0,0,0
2551,0,0,0
2552,11,0,3
2553,0,0,0
2554,0,0,0
2555,133,0,0
2556,0,0,0
2557,0,0,0
2558,1,0,0
2559,0,0,0
2560,0,0,0
2561,0,0,0
2562,0,0,0
2563,0,0,0
2564,0,0,0
2565,0,0,0
2566,0,0,0
2567,0,0,0
2568,0,0,0
2569,0,0,0
2570,1,2,1
2571,0,0,0
2572,0,3,0
2573,0,0,0
2574,0,0,0
2575,6,0,0
2576,0,0,0
2577,0,0,0
2578,0,0,0
2579,0,0,0
2580,0,0,0
2581,0,0,0
2582,3,7,2
2583,0,0,15
2584,0,0,0
2585,0,0,0
2586,0,0,0
2587,3,78,1
2588,0,0,0
2589,0,0,0
2590,0,0,1
2591,0,0,0
2592,0,0,0
2593,0,0,0
2594,0,0,0
2595,0,1,1
2596,0,0,0
2597,0,0,0
2598,0,0,0
2599,0,0,0
2600,0,0,0
2601,0,0,0
2602,4,7,3
2603,7,0,1
2604,0,0,0
2605,0,0,0
2606,0,0,0
2607,0,0,0
2608,0,0,0
2609,0,0,0
2610,0,15,14
2611,0,0,0
2612,0,0,1
2613,0,0,0
2614,0,0,0
2615,14,0,1
2616,0,15,111
2617,0,0,0
2618,0,0,0
2619,0,0,0
2620,1,0,0
2621,2,2,1
2622,1,3,22
2623,0,0,0
2624,0,0,0
2625,0,0,0
2626,0,0,1
2627,0,0,0
2628,0,0,0
2629,0,0,0
2630,0,0,0
2631,0,0,0
2632,0,0,2
2633,0,0,0
2634,0,0,0
2635,1,0,293
2636,0,0,0
2637,2,2,2
2638,11,29,10
2639,0,4,2561
2640,7,3,0
2641,0,0,0
2642,16,2,1
2643,1,1,0
2644,0,2,0
2645,0,0,0
2646,0,4,0
2647,0,0,0
2648,0,0,402
2649,0,0,0
2650,23,8,6
2651,0,0,0
2652,4,1,0
2653,0,0,46
2654,0,60,8
2655,309,113,15
2656,0,0,0
2657,0,0,121
2658,0,0,7
2659,2127,0,0
2660,0,0,0
2661,0,0,0
2662,0,0,0
2663,5,21,17
2664,1,3,23
2665,0,0,0
2666,0,0,0
2667,0,0,3
2668,0,0,0
2669,0,0,0
2670,0,0,0
2671,0,0,2
2672,0,0,0
2673,48,0,0
2674,0,0,0
2675,0,0,0
2676,0,0,0
2677,1,0,2
2678,0,0,0
2679,0,0,0
2680,0,0,0
2681,0,0,0
2682,0,0,0
2683,0,0,0
2684,284,81,398
2685,0,0,0
2686,0,0,0
2687,0,0,0
2688,0,0,0
2689,0,0,2
2690,0,0,0
2691,0,0,0
2692,0,0,0
2693,1,1,0
2694,0,0,1
2695,0,0,0
2696,0,0,0
2697,0,0,0
2698,0,0,0
2699,0,0,0
2700,7,15,0
2701,0,0,0
2702,168,129,7
2703,0,0,2
2704,0,0,0
2705,0,0,0
2706,0,0,0
2707,0,0,0
2708,0,0,0
2709,0,0,0
2710,0,0,0
2711,0,1,0
2712,0,0,0
2713,0,0,0
2714,0,0,0
2715,0,0,0
2716,4,0,0
2717,0,0,0
2718,0,0,0
2719,0,0,0
2720,9,8,11
2721,0,0,0
2722,0,0,0
2723,0,0,0
2724,0,1,6
2725,28,36,75
2726,0,0,0
2727,0,0,0
2728,270,0,1
2729,0,0,0
2730,5,1,2
2731,0,0,0
2732,0,0,0
2733,8,1,2
2734,0,0,310
2735,0,0,0
2736,40,7,1
2737,55,15,5
2738,6,7,0
2739,0,2,1
2740,0,0,0
2741,0,0,0
2742,0,0,0
2743,0,0,0
2744,0,0,0
2745,0,0,0
2746,0,0,0
2747,0,0,0
2748,3,0,0
2749,0,0,0
2750,3,0,0
2751,2,0,0
2752,0,0,0
2753,0,0,0
2754,0,0,0
2755,0,0,0
2756,0,0,0
2757,0,0,0
2758,0,0,0
2759,9,0,13
2760,0,0,0
2761,0,0,0
2762,0,0,0
2763,0,0,0
2764,0,0,0
2765,1,0,0
2766,0,0,0
2767,0,0,0
2768,278,1641,1293
2769,0,0,0
2770,0,0,0
2771,15,25,30
2772,0,0,0
2773,0,0,0
2774,0,0,0
2775,0,0,0
2776,0,0,0
2777,0,0,0
2778,0,0,0
2779,0,0,0
2780,0,0,0
2781,0,0,0
2782,0,0,0
2783,0,0,0
2784,0,0,0
2785,0,0,0
2786,19,0,0
2787,0,0,0
2788,0,0,0
2789,0,0,0
2790,2,1,36
2791,0,0,4
2792,0,0,0
2793,0,0,0
2794,0,0,0
2795,0,0,0
2796,0,0,0
2797,0,0,0
2798,0,0,0
2799,0,0,0
2800,0,0,0
2801,0,2,6
2802,0,1,0
2803,0,0,0
2804,0,0,1
2805,0,0,0
2806,34,5,4
2807,0,0,0
2808,0,0,0
2809,152,0,1
2810,0,0,0
2811,0,4,17
2812,0,0,0
2813,0,0,0
2814,0,0,0
2815,5,0,1
2816,0,0,0
2817,0,0,0
2818,0,0,0
2819,0,0,0
2820,0,0,0
2821,0,0,0
2822,2,0,1
2823,0,0,0
2824,0,4,0
2825,0,0,0
2826,0,0,0
2827,0,0,0
2828,0,0,0
2829,0,0,0
2830,0,0,0
2831,0,0,0
2832,0,0,0
2833,0,4,6
2834,0,0,0
2835,0,0,0
2836,0,0,0
2837,0,0,0
2838,389,0,0
2839,0,0,0
2840,0,0,0
2841,1,0,0
2842,0,0,0
2843,0,0,0
2844,0,0,0
2845,0,0,0
2846,33,18,1
2847,0,1,0
2848,0,0,0
2849,0,0,53
2850,0,0,0
2851,0,0,0
2852,0,0,0
2853,0,0,0
2854,14,0,0
2855,1,0,0
2856,0,0,0
2857,0,0,0
2858,0,0,0
2859,0,0,0
2860,10,0,0
2861,0,0,0
2862,0,0,0
2863,0,0,0
2864,0,0,0
2865,3,1,21
2866,0,0,15
2867,0,0,0
2868,0,0,7
2869,0,0,0
2870,0,0,0
2871,0,0,0
2872,0,1,4
2873,0,0,0
2874,0,0,0
2875,0,0,0
2876,0,0,0
2877,0,0,0
2878,0,0,0
2879,2,0,1
2880,0,0,1
2881,0,0,0
2882,0,0,0
2883,0,0,0
2884,0,0,2
2885,0,0,0
2886,0,0,0
2887,0,0,0
2888,0,0,0
2889,0,0,0
2890,0,0,0
2891,0,7,28
2892,0,0,0
2893,45,11,74
2894,0,0,0
2895,0,0,0
2896,19,2,5
2897,0,0,0
2898,0,0,0
2899,0,0,0
2900,0,0,0
2901,0,0,0
2902,0,0,1
2903,0,0,0
2904,0,0,0
2905,0,0,1
2906,349,423,1078
2907,0,0,0
2908,0,0,0
2909,1,0,1
2910,0,0,0
2911,0,0,0
2912,0,0,0
2913,0,0,0
2914,15,0,0
2915,0,0,0
2916,0,0,0
2917,0,0,2
2918,2,1,0
2919,0,0,58
2920,0,0,0
2921,1,1,0
2922,439,65,315
2923,0,0,0
2924,5,78,3
2925,0,0,0
2926,0,0,230
2927,0,0,0
2928,0,0,0
2929,0,0,0
2930,0,0,0
2931,0,0,0
2932,0,0,0
2933,0,0,0
2934,893,2,61
2935,7,1,0
2936,0,0,0
2937,0,0,0
2938,0,1,0
2939,0,0,0
2940,0,0,0
2941,0,0,0
2942,0,0,0
2943,0,0,0
2944,0,1,0
2945,0,0,0
2946,21,0,0
2947,0,0,0
2948,0,0,0
2949,0,0,0
2950,0,0,0
2951,0,0,0
2952,0,0,0
2953,0,1,0
2954,0,0,0
2955,0,1,0
2956,0,0,0
2957,288,23,20
2958,0,0,0
2959,1,1,5343
2960,0,0,1
2961,0,0,0
2962,3,3,2
2963,0,0,388
2964,6,0,0
2965,0,0,0
2966,0,0,0
2967,0,0,0
2968,0,0,0
2969,0,0,0
2970,0,0,0
2971,0,0,4
2972,0,0,0
2973,8,43,22
2974,0,0,0
2975,0,0,0
2976,0,0,0
2977,3,3,2
2978,0,0,0
2979,0,0,1
2980,44,4,6
2981,0,0,0
2982,0,0,0
2983,0,0,1
2984,0,13,1
2985,0,0,0
2986,0,0,0
2987,0,0,0
2988,0,0,0
2989,0,0,0
2990,0,0,0
2991,0,0,0
2992,0,0,0
2993,0,0,0
2994,0,0,0
2995,2,0,0
2996,0,0,0
2997,0,0,3
2998,3,0,0
2999,0,0,0
3000,0,0,0
3001,0,0,0
3002,0,0,0
3003,0,2,0
3004,0,0,0
3005,0,0,0
3006,0,0,0
3007,0,0,0
3008,1,0,0
3009,131,9,0
3010,0,0,0
3011,0,0,0
3012,0,0,0
3013,0,1,1040
3014,0,0,0
3015,0,0,3
3016,0,0,0
3017,12,2,0
3018,20,24,2
3019,1,0,0
3020,1,3,3
3021,3,0,1
3022,0,0,0
3023,0,0,0
3024,0,0,0
3025,0,0,0
3026,0,0,0
3027,0,0,0
3028,0,0,0
3029,0,0,0
3030,1,1,1
3031,0,0,0
3032,0,0,0
3033,0,0,0
3034,0,0,0
3035,0,0,0
3036,0,0,0
3037,5,8,1
3038,0,0,0
3039,0,0,0
3040,0,8,7
3041,2,101,2
3042,23,0,4
3043,0,0,0
3044,0,0,0
3045,0,0,0
3046,0,0,0
3047,0,0,0
3048,0,0,1
3049,0,1,3
3050,0,0,0
3051,0,0,0
3052,682,16,222
3053,0,0,0
3054,0,0,0
3055,0,4,0
3056,0,0,0
3057,0,2,10056
3058,0,0,0
3059,0,0,0
3060,0,0,0
3061,0,0,0
3062,0,0,8
3063,22,17,3
3064,0,0,0
3065,0,0,0
3066,0,0,0
3067,0,0,0
3068,0,0,0
3069,0,0,0
3070,0,0,0
3071,0,0,0
3072,0,0,0
3073,27,0,0
3074,0,0,0
3075,0,0,0
3076,0,0,0
3077,0,0,0
3078,0,0,0
3079,0,0,0
3080,1241,201,62
3081,0,0,0
3082,0,0,0
3083,1067,0,0
3084,0,0,0
3085,0,0,0
3086,0,0,0
3087,0,0,0
3088,0,0,0
3089,0,0,0
3090,16,63,300
3091,0,0,0
3092,0,0,1
3093,0,0,0
3094,0,0,0
3095,0,0,0
3096,0,0,0
3097,0,0,0
3098,0,0,3
3099,0,0,920
3100,0,0,0
3101,0,0,1
3102,0,0,0
3103,0,0,0
3104,0,0,0
3105,2,0,0
3106,0,0,0
3107,0,0,119
3108,0,0,0
3109,0,0,0
3110,0,0,0
3111,4,1,56
3112,2,1,0
3113,0,0,0
3114,0,0,2
3115,0,0,0
3116,0,2,0
3117,0,0,0
3118,62,474,31
3119,1,0,4
3120,9,0,2
3121,0,0,0
3122,12,0,3
3123,0,0,0
3124,0,0,0
3125,2113,1043,49
3126,0,0,0
3127,0,0,0
3128,0,0,0
3129,2,6,2
3130,0,0,0
3131,0,0,0
3132,0,0,0
3133,0,0,0
3134,0,1,38
3135,0,0,0
3136,0,0,1380
3137,0,0,0
3138,0,0,2
3139,0,3,11
3140,0,0,0
3141,0,0,0
3142,0,0,0
3143,0,0,0
3144,0,0,0
3145,0,0,0
3146,0,0,0
3147,0,0,0
3148,0,0,0
3149,0,0,0
3150,0,0,0
3151,0,0,0
3152,11,5,0
3153,0,0,0
3154,0,2,1
3155,0,0,0
3156,0,0,0
3157,0,0,0
3158,0,0,1
3159,1061,41,14
3160,0,0,0
3161,0,0,0
3162,0,0,0
3163,1,0,4
3164,0,0,0
3165,0,0,0
3166,0,0,0
3167,0,0,0
3168,947,0,8
3169,0,0,0
3170,51,5,2
3171,0,1,3
3172,0,0,0
3173,0,0,0
3174,0,0,0
3175,488,5,10
3176,0,0,0
3177,0,0,0
3178,0,0,0
3179,0,0,0
3180,2,0,11
3181,0,0,0
3182,0,0,0
3183,0,1,0
3184,523,0,1
3185,0,0,0
3186,0,0,0
3187,0,0,0
3188,0,0,0
3189,0,0,14
3190,0,0,2
3191,0,0,0
3192,130,0,5
3193,0,0,0
3194,123,274,636
3195,0,0,1
3196,0,0,0
3197,0,0,0
3198,0,0,0
3199,1,10,0
3200,0,0,0
3201,4,0,0
3202,0,0,0
